1,2,2,2,"1BMA","Cas","ECON","4.01",,30,2.00000,"1SEM",,,"20090727","20100702",0.00980,,,"4.01",,,,"n",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,0,
2,1,1,1,"1BMA","Cas","ECON","4.01",,30,1.00000,"2SEM",,,"20090727","20100702",0.00490,,,"4.01",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
3,3,3,3,"1BMA","Kem","BHR","4.01",,30,3.00000,"1SEM",,,"20090727","20100702",0.01470,,,"4.01",,,,"aBn",,,,,,,,,,0,0,,,,,300000,3.00000,,,,,0,
4,2,2,2,"1BMA","Kem","BHR","4.01",,30,2.00000,"2SEM",,,"20090727","20100702",0.00980,,,"4.01",,,,"n",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,0,
5,2,2,2,"1BMA","De","WORD","2.12",,30,2.00000,"1SEM",,,"20090727","20100702",0.00980,,,"4.01",,,,"n",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,0,
6,3,3,3,"1BMA","BRUST","EXCEL","2.12",,30,3.00000,"2SEM",,,"20090727","20100702",0.01470,,,"4.01",,,,"n",,,,,,,,,,0,0,,,,,300000,3.00000,,,,,0,
7,1,1,1,"1BMA","Rae","ETH","4.01",,30,1.00000,"JAAR",,,"20090727","20100702",0.00490,,,"4.01",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
8,2,2,2,"1BMA","Van4","NED","4.01",,30,2.00000,"1SEM",,,"20090727","20100702",0.00980,,,"4.01",,,,"n",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,0,
9,1,1,1,"1BMA","De W","GRDYN","4.01",,30,1.00000,"1SEM",,,"20090727","20100702",0.00490,,,"4.01",,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
10,2,2,2,"1BMA","De W","GRDYN","4.01",,30,2.00000,"2SEM",,,"20090727","20100702",0.00980,"1/2 van de groep",,"4.01",,,,"nR",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,0,
11,1,1,1,"1BMA","De V","METHO","4.01",,30,1.00000,"2SEM",,,"20090727","20100702",0.00490,,,"4.01",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,,,0,
12,2,2,2,"1BMA","Del","FRA","4.01",,30,2.00000,"1SEM",,,"20090727","20100702",0.00980,,,"4.01",,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,,,0,
13,3,3,3,"1BMA","Del","FRA","4.01",,30,3.00000,"2SEM",,,"20090727","20100702",0.01470,,,"4.01",,,,"n",,,,,,,,,,0,0,,,,,300000,3.00000,,,,,0,
